"","height","lenght","area","eccen","p_black","p_and","mean_tr","blackpix","blackand","wb_trans","Output"
"2531",8,37,296,4.625,0.375,0.753,2.22,111,223,50,"1"
"2532",8,9,72,1.125,0.458,0.986,2.2,33,71,15,"1"
"2533",8,34,272,4.25,0.426,0.985,1.84,116,268,63,"1"
"2534",10,22,220,2.2,0.377,0.614,2.44,83,135,34,"1"
"2535",8,25,200,3.125,0.365,0.73,1.83,73,146,40,"1"
"2536",9,272,2448,30.222,0.269,0.763,1.87,659,1868,353,"1"
"2537",8,14,112,1.75,0.42,0.848,2.04,47,95,23,"1"
"2538",8,16,128,2,0.375,0.93,2.09,48,119,23,"1"
"2539",9,35,315,3.889,0.33,0.835,2,104,263,52,"1"
"2540",8,15,120,1.875,0.517,0.867,2.48,62,104,25,"1"
"2541",8,25,200,3.125,0.405,0.755,1.98,81,151,41,"1"
"2542",8,10,80,1.25,0.4,0.825,2,32,66,16,"1"
"2543",8,12,96,1.5,0.385,0.802,2.18,37,77,17,"1"
"2544",9,36,324,4,0.395,0.673,2.37,128,218,54,"1"
"2545",6,4,24,0.667,0.667,1,8,16,24,2,"1"
"2546",6,31,186,5.167,0.5,1,1.94,93,186,48,"1"
"2547",6,4,24,0.667,0.625,0.792,5,15,19,3,"1"
"2548",10,271,2710,27.1,0.239,0.615,1.94,647,1668,333,"1"
"2549",11,272,2992,24.727,0.279,0.681,1.97,835,2039,423,"1"
"2550",9,1,9,0.111,1,1,9,9,9,1,"1"
"2551",8,25,200,3.125,0.37,0.73,2.06,74,146,36,"1"
"2552",11,32,352,2.909,0.344,0.767,2.69,121,270,45,"1"
"2553",8,21,168,2.625,0.435,1,1.97,73,168,37,"1"
"2554",8,10,80,1.25,0.425,0.913,2,34,73,17,"1"
"2555",8,31,248,3.875,0.411,0.742,2.04,102,184,50,"1"
"2556",8,49,392,6.125,0.441,0.997,1.9,173,391,91,"1"
"2557",8,23,184,2.875,0.38,0.989,1.75,70,182,40,"1"
"2558",8,18,144,2.25,0.403,0.931,1.81,58,134,32,"1"
"2559",7,12,84,1.714,0.464,1,2.17,39,84,18,"1"
"2560",9,27,243,3,0.358,0.856,1.85,87,208,47,"1"
"2561",8,14,112,1.75,0.464,0.768,2.6,52,86,20,"1"
"2562",8,12,96,1.5,0.375,0.792,2.57,36,76,14,"1"
"2563",8,32,256,4,0.367,0.688,2.47,94,176,38,"1"
"2564",9,25,225,2.778,0.32,0.707,2.25,72,159,32,"1"
"2565",11,86,946,7.818,0.297,0.748,1.95,281,708,144,"1"
"2566",8,12,96,1.5,0.427,0.927,2.05,41,89,20,"1"
"2567",7,17,119,2.429,0.429,0.748,2.22,51,89,23,"1"
"2568",11,98,1078,8.909,0.276,0.602,2.15,297,649,138,"1"
"2569",8,50,400,6.25,0.428,0.74,2.31,171,296,74,"1"
"2570",10,28,280,2.8,0.375,0.657,2.33,105,184,45,"1"
"2571",9,37,333,4.111,0.333,0.655,2.22,111,218,50,"1"
"2572",8,51,408,6.375,0.37,0.743,2.19,151,303,69,"1"
"2573",8,6,48,0.75,0.396,0.813,1.58,19,39,12,"1"
"2574",8,8,64,1,0.484,1,3.44,31,64,9,"1"
"2575",8,5,40,0.625,0.45,1,3,18,40,6,"1"
"2576",11,44,484,4,0.308,0.818,2.01,149,396,74,"1"
"2577",8,38,304,4.75,0.401,0.747,2.65,122,227,46,"1"
"2578",11,25,275,2.273,0.36,0.909,2.11,99,250,47,"1"
"2579",10,51,510,5.1,0.308,0.841,1.89,157,429,83,"1"
"2580",9,35,315,3.889,0.381,0.806,2.14,120,254,56,"1"
"2581",8,12,96,1.5,0.51,0.844,2.58,49,81,19,"1"
"2582",8,35,280,4.375,0.418,0.929,2.39,117,260,49,"1"
"2583",7,38,266,5.429,0.414,0.846,2.44,110,225,45,"1"
"2584",8,25,200,3.125,0.515,0.815,2.64,103,163,39,"1"
"2585",8,7,56,0.875,0.375,1,2.63,21,56,8,"1"
"2586",8,4,32,0.5,0.406,1,2.17,13,32,6,"1"
"2587",8,14,112,1.75,0.357,0.67,2,40,75,20,"1"
"2588",9,16,144,1.778,0.382,0.743,2.29,55,107,24,"1"
"2589",11,31,341,2.818,0.323,0.83,2.08,110,283,53,"1"
"2590",10,20,200,2,0.385,0.87,2.14,77,174,36,"1"
"2591",9,19,171,2.111,0.392,0.83,2.31,67,142,29,"1"
"2592",10,25,250,2.5,0.408,0.68,2.43,102,170,42,"1"
"2593",8,16,128,2,0.453,0.68,2.9,58,87,20,"1"
"2594",9,52,468,5.778,0.359,0.827,2.4,168,387,70,"1"
"2595",8,36,288,4.5,0.427,1,2.05,123,288,60,"1"
"2596",8,24,192,3,0.406,0.818,2.23,78,157,35,"1"
"2597",8,17,136,2.125,0.463,0.735,2.86,63,100,22,"1"
"2598",8,13,104,1.625,0.404,0.99,2.1,42,103,20,"1"
"2599",8,53,424,6.625,0.344,0.884,1.83,146,375,80,"1"
"2600",10,47,470,4.7,0.338,0.698,2.3,159,328,69,"1"
"2601",7,31,217,4.429,0.461,0.991,2.44,100,215,41,"1"
"2602",7,5,35,0.714,0.514,0.8,9,18,28,2,"1"
"2603",5,18,90,3.6,0.689,1,3.44,62,90,18,"1"
"2604",5,4,20,0.8,0.7,0.8,7,14,16,2,"1"
"2605",11,150,1650,13.636,0.186,0.533,2.06,307,879,149,"1"
"2606",8,202,1616,25.25,0.313,0.689,1.83,505,1114,276,"1"
"2607",12,272,3264,22.667,0.249,0.602,2.01,812,1965,404,"1"
"2608",11,185,2035,16.818,0.295,0.826,1.94,600,1681,310,"1"
"2609",8,82,656,10.25,0.402,0.991,2.1,264,650,126,"1"
"2610",11,13,143,1.182,0.35,0.783,2.08,50,112,24,"1"
"2611",8,12,96,1.5,0.479,0.938,2.3,46,90,20,"1"
"2612",8,38,304,4.75,0.461,0.803,2.3,140,244,61,"1"
"2613",8,10,80,1.25,0.388,0.913,2.21,31,73,14,"1"
"2614",8,12,96,1.5,0.448,0.896,2.05,43,86,21,"1"
"2615",10,13,130,1.3,0.385,0.823,2,50,107,25,"1"
"2616",8,16,128,2,0.398,0.828,2.68,51,106,19,"1"
"2617",8,16,128,2,0.516,1,2.54,66,128,26,"1"
"2618",8,9,72,1.125,0.528,0.958,3.17,38,69,12,"1"
"2619",8,4,32,0.5,0.469,0.719,5,15,23,3,"1"
"2620",8,18,144,2.25,0.361,0.944,2.17,52,136,24,"1"
"2621",7,26,182,3.714,0.445,0.978,2.25,81,178,36,"1"
"2622",5,7,35,1.4,0.657,0.886,3.83,23,31,6,"1"
"2623",5,4,20,0.8,0.65,0.85,3.25,13,17,4,"1"
"2624",11,271,2981,24.636,0.278,0.728,1.99,829,2171,417,"1"
"2625",11,240,2640,21.818,0.27,0.634,2.05,714,1674,348,"1"
"2626",8,26,208,3.25,0.37,0.654,2.41,77,136,32,"1"
"2627",11,272,2992,24.727,0.281,0.68,2,840,2036,420,"1"
"2628",9,17,153,1.889,0.451,0.941,2.46,69,144,28,"1"
"2629",8,17,136,2.125,0.346,1,2.47,47,136,19,"1"
"2630",10,48,480,4.8,0.36,0.863,2.16,173,414,80,"1"
"2631",9,47,423,5.222,0.336,0.891,1.78,142,377,80,"1"
"2632",8,8,64,1,0.5,1,2.91,32,64,11,"1"
"2633",8,27,216,3.375,0.435,0.963,2.14,94,208,44,"1"
"2634",9,20,180,2.222,0.35,0.728,1.91,63,131,33,"1"
"2635",8,13,104,1.625,0.394,0.913,2.28,41,95,18,"1"
"2636",9,34,306,3.778,0.386,0.706,2.41,118,216,49,"1"
"2637",8,15,120,1.875,0.433,0.975,2,52,117,26,"1"
"2638",8,26,208,3.25,0.394,1,2.16,82,208,38,"1"
"2639",10,67,670,6.7,0.321,0.81,2.29,215,543,94,"1"
"2640",9,23,207,2.556,0.362,0.831,1.92,75,172,39,"1"
"2641",8,36,288,4.5,0.427,0.924,1.98,123,266,62,"1"
"2642",8,12,96,1.5,0.469,0.948,2.14,45,91,21,"1"
"2643",10,25,250,2.5,0.392,0.808,2.51,98,202,39,"1"
"2644",11,272,2992,24.727,0.283,0.703,1.97,847,2103,431,"1"
"2645",6,33,198,5.5,0.52,0.995,2.24,103,197,46,"1"
"2646",9,20,180,2.222,0.361,0.7,2.32,65,126,28,"1"
"2647",9,29,261,3.222,0.414,0.966,2.4,108,252,45,"1"
"2648",9,19,171,2.111,0.386,0.912,2.2,66,156,30,"1"
"2649",8,20,160,2.5,0.456,1,2.35,73,160,31,"1"
"2650",8,18,144,2.25,0.403,0.896,2.52,58,129,23,"1"
"2651",8,7,56,0.875,0.411,0.875,2.09,23,49,11,"1"
"2652",8,13,104,1.625,0.49,0.913,2.68,51,95,19,"1"
"2653",10,34,340,3.4,0.356,0.744,1.98,121,253,61,"1"
"2654",8,15,120,1.875,0.5,1,2.14,60,120,28,"1"
"2655",11,261,2871,23.727,0.257,0.644,2.01,738,1849,368,"1"
"2656",8,34,272,4.25,0.419,0.783,2,114,213,57,"1"
"2657",11,32,352,2.909,0.332,0.815,1.86,117,287,63,"1"
"2658",11,12,132,1.091,0.295,0.818,3,39,108,13,"1"
"2659",9,26,234,2.889,0.316,0.88,1.85,74,206,40,"1"
"2660",9,16,144,1.778,0.326,0.792,1.74,47,114,27,"1"
"2661",11,36,396,3.273,0.283,0.79,2.07,112,313,54,"1"
"2662",9,64,576,7.111,0.345,0.694,2.29,199,400,87,"1"
"2663",11,245,2695,22.273,0.252,0.829,1.86,678,2235,365,"1"
"2664",10,21,210,2.1,0.3,0.81,1.91,63,170,33,"1"
"2665",6,14,84,2.333,0.571,1,2.29,48,84,21,"1"
"2666",6,36,216,6,0.509,0.991,2,110,214,55,"1"
"2667",11,51,561,4.636,0.294,0.824,2.06,165,462,80,"1"
"2668",11,73,803,6.636,0.27,0.844,2.03,217,678,107,"1"
"2669",8,21,168,2.625,0.411,0.786,2.23,69,132,31,"1"
"2670",8,27,216,3.375,0.407,1,2.05,88,216,43,"1"
"2671",11,60,660,5.455,0.32,0.608,2.01,211,401,105,"1"
"2672",8,14,112,1.75,0.446,1,2.17,50,112,23,"1"
"2673",11,54,594,4.909,0.258,0.736,1.99,153,437,77,"1"
"2674",8,7,56,0.875,0.446,0.768,3.13,25,43,8,"1"
"2675",11,91,1001,8.273,0.286,0.597,2.33,286,598,123,"1"
"2676",8,14,112,1.75,0.446,0.973,2.27,50,109,22,"1"
"2677",8,7,56,0.875,0.429,1,2.18,24,56,11,"1"
"2678",8,12,96,1.5,0.458,0.927,2.2,44,89,20,"1"
"2679",8,21,168,2.625,0.411,0.994,2.56,69,167,27,"1"
"2680",8,18,144,2.25,0.396,0.882,1.84,57,127,31,"1"
"2681",6,9,54,1.5,0.556,1,2.14,30,54,14,"1"
"2682",11,24,264,2.182,0.307,0.795,2.08,81,210,39,"1"
"2683",8,39,312,4.875,0.388,0.933,2.2,121,291,55,"1"
"2684",8,12,96,1.5,0.438,1,2,42,96,21,"1"
"2685",10,30,300,3,0.367,0.783,2.29,110,235,48,"1"
"2686",8,8,64,1,0.516,1,2.36,33,64,14,"1"
"2687",8,12,96,1.5,0.438,1,1.91,42,96,22,"1"
"2688",8,26,208,3.25,0.389,1,2.31,81,208,35,"1"
"2689",8,16,128,2,0.438,0.891,2.67,56,114,21,"1"
"2690",11,52,572,4.727,0.262,0.858,1.79,150,491,84,"1"
"2691",11,25,275,2.273,0.335,0.931,2.56,92,256,36,"1"
"2692",10,32,320,3.2,0.338,0.816,1.83,108,261,59,"1"
"2693",10,26,260,2.6,0.296,0.942,2.2,77,245,35,"1"
"2694",10,28,280,2.8,0.293,0.8,2,82,224,41,"1"
"2695",10,19,190,1.9,0.337,0.911,2,64,173,32,"1"
"2696",10,18,180,1.8,0.383,1,2.3,69,180,30,"1"
"2697",9,43,387,4.778,0.3,0.713,1.78,116,276,65,"1"
"2698",5,7,35,1.4,0.6,0.886,3.5,21,31,6,"1"
"2699",6,32,192,5.333,0.417,0.964,2.11,80,185,38,"1"
"2700",6,8,48,1.333,0.563,0.958,3.38,27,46,8,"1"
"2701",11,213,2343,19.364,0.264,0.698,1.95,619,1635,317,"1"
"2702",10,53,530,5.3,0.306,0.889,1.84,162,471,88,"1"
"2703",12,271,3252,22.583,0.232,0.548,1.93,753,1782,390,"1"
"2704",11,96,1056,8.727,0.277,0.68,1.83,292,718,160,"1"
"2705",10,30,300,3,0.307,0.94,1.96,92,282,47,"1"
"2706",11,76,836,6.909,0.254,0.688,2.08,212,575,102,"1"
"2707",8,16,128,2,0.43,0.859,2.2,55,110,25,"1"
"2708",9,34,306,3.778,0.356,0.925,2.06,109,283,53,"1"
"2709",11,61,671,5.545,0.294,0.735,2.21,197,493,89,"1"
"2710",8,19,152,2.375,0.368,1,1.75,56,152,32,"1"
"2711",10,50,500,5,0.268,0.764,1.94,134,382,69,"1"
"2712",10,27,270,2.7,0.344,0.804,2.38,93,217,39,"1"
"2713",10,64,640,6.4,0.189,0.4,2.12,121,256,57,"1"
"2714",8,55,440,6.875,0.225,0.645,1.77,99,284,56,"1"
"2715",8,8,64,1,0.344,0.922,1.83,22,59,12,"1"
"2716",8,12,96,1.5,0.458,0.938,2.59,44,90,17,"1"
"2717",8,69,552,8.625,0.366,0.897,1.94,202,495,104,"1"
"2718",8,14,112,1.75,0.42,0.759,2.04,47,85,23,"1"
"2719",8,22,176,2.75,0.477,1,2.27,84,176,37,"1"
"2720",8,21,168,2.625,0.357,0.964,2.07,60,162,29,"1"
"2721",8,47,376,5.875,0.34,0.753,2,128,283,64,"1"
"2722",7,15,105,2.143,0.448,0.829,1.74,47,87,27,"1"
"2723",11,15,165,1.364,0.352,0.891,2.07,58,147,28,"1"
"2724",10,19,190,1.9,0.311,1,1.69,59,190,35,"1"
"2725",10,61,610,6.1,0.305,0.952,1.98,186,581,94,"1"
"2726",10,50,500,5,0.326,0.868,2.01,163,434,81,"1"
"2727",6,36,216,6,0.495,0.995,1.91,107,215,56,"1"
"2728",8,22,176,2.75,0.403,1,2.03,71,176,35,"1"
"2729",10,36,360,3.6,0.319,0.817,1.98,115,294,58,"1"
"2730",9,26,234,2.889,0.342,0.821,2.35,80,192,34,"1"
"2731",9,7,63,0.778,0.365,0.937,1.77,23,59,13,"1"
"2732",9,24,216,2.667,0.352,0.722,2.17,76,156,35,"1"
"2733",8,22,176,2.75,0.392,0.915,2.56,69,161,27,"1"
"2734",8,31,248,3.875,0.415,1,1.87,103,248,55,"1"
"2735",11,50,550,4.545,0.255,0.56,1.89,140,308,74,"1"
"2736",9,54,486,6,0.391,0.817,1.98,190,397,96,"1"
"2737",9,12,108,1.333,0.491,0.889,2.41,53,96,22,"1"
"2738",10,41,410,4.1,0.312,0.734,1.94,128,301,66,"1"
"2739",10,7,70,0.7,0.329,0.986,1.77,23,69,13,"1"
"2740",10,52,520,5.2,0.319,0.802,1.87,166,417,89,"1"
"2741",8,8,64,1,0.438,1,2.33,28,64,12,"1"
"2742",8,12,96,1.5,0.396,0.75,2.38,38,72,16,"1"
"2743",8,7,56,0.875,0.429,1,2.18,24,56,11,"1"
"2744",8,12,96,1.5,0.406,0.896,1.86,39,86,21,"1"
"2745",8,16,128,2,0.43,1,2.04,55,128,27,"1"
"2746",8,16,128,2,0.461,0.93,2.57,59,119,23,"1"
"2747",8,26,208,3.25,0.399,0.976,1.93,83,203,43,"1"
"2748",10,69,690,6.9,0.277,0.68,1.85,191,469,103,"1"
"2749",11,122,1342,11.091,0.256,0.656,1.94,344,881,177,"1"
"2750",10,145,1450,14.5,0.278,0.724,1.9,403,1050,212,"1"
"2751",11,272,2992,24.727,0.26,0.681,1.82,778,2038,428,"1"
"2752",9,49,441,5.444,0.306,0.773,1.82,135,341,74,"1"
"2753",8,7,56,0.875,0.411,1,2.09,23,56,11,"1"
"2754",9,18,162,2,0.352,0.901,1.84,57,146,31,"1"
"2755",8,12,96,1.5,0.417,0.969,2.11,40,93,19,"1"
"2756",8,42,336,5.25,0.369,1,1.85,124,336,67,"1"
"2757",9,59,531,6.556,0.335,0.821,1.96,178,436,91,"1"
"2758",10,54,540,5.4,0.319,0.824,1.83,172,445,94,"1"
"2759",11,126,1386,11.455,0.273,0.649,2.11,379,900,180,"1"
"2760",8,39,312,4.875,0.282,0.747,2,88,233,44,"1"
"2761",11,44,484,4,0.314,0.75,1.92,152,363,79,"1"
"2762",8,7,56,0.875,0.464,1,2.36,26,56,11,"1"
"2763",10,37,370,3.7,0.324,0.692,1.85,120,256,65,"1"
"2764",8,15,120,1.875,0.433,0.625,2.74,52,75,19,"1"
"2765",8,32,256,4,0.352,0.973,1.8,90,249,50,"1"
"2766",8,45,360,5.625,0.367,0.783,1.89,132,282,70,"1"
"2767",9,41,369,4.556,0.374,0.881,2.26,138,325,61,"1"
"2768",10,25,250,2.5,0.268,0.588,1.91,67,147,35,"1"
"2769",8,16,128,2,0.344,0.742,1.52,44,95,29,"1"
"2770",8,10,80,1.25,0.375,0.85,1.88,30,68,16,"1"
"2771",5,9,45,1.8,0.533,0.911,2,24,41,12,"1"
"2772",12,261,3132,21.75,0.223,0.578,1.92,698,1810,364,"1"
"2773",11,233,2563,21.182,0.245,0.677,1.8,629,1734,349,"1"
"2774",7,35,245,5,0.408,0.755,2.38,100,185,42,"1"
"2775",8,8,64,1,0.359,0.766,1.64,23,49,14,"1"
"2776",8,31,248,3.875,0.371,0.782,2,92,194,46,"1"
"2777",8,22,176,2.75,0.392,0.778,2.3,69,137,30,"1"
"2778",8,33,264,4.125,0.424,0.867,2.24,112,229,50,"1"
"2779",11,40,440,3.636,0.27,0.618,1.8,119,272,66,"1"
"2780",8,8,64,1,0.359,0.969,1.53,23,62,15,"1"
"2781",8,12,96,1.5,0.438,0.927,2.1,42,89,20,"1"
"2782",9,20,180,2.222,0.361,0.872,1.86,65,157,35,"1"
"2783",8,9,72,1.125,0.361,0.972,1.73,26,70,15,"1"
"2784",8,15,120,1.875,0.375,0.85,1.88,45,102,24,"1"
"2785",8,12,96,1.5,0.396,0.927,1.65,38,89,23,"1"
"2786",10,25,250,2.5,0.328,0.828,2.05,82,207,40,"1"
"2787",8,10,80,1.25,0.4,1,1.88,32,80,17,"1"
"2788",8,4,32,0.5,0.438,0.656,4.67,14,21,3,"1"
"2789",8,12,96,1.5,0.427,0.875,2.56,41,84,16,"1"
"2790",10,26,260,2.6,0.3,0.954,1.59,78,248,49,"1"
"2791",10,6,60,0.6,0.333,0.817,2.5,20,49,8,"1"
"2792",11,57,627,5.182,0.271,0.577,1.87,170,362,91,"1"
"2793",8,28,224,3.5,0.406,0.777,2.07,91,174,44,"1"
"2794",10,23,230,2.3,0.248,0.678,2.19,57,156,26,"1"
"2795",11,32,352,2.909,0.256,0.534,2,90,188,45,"1"
"2796",8,12,96,1.5,0.385,0.688,1.95,37,66,19,"1"
"2797",8,17,136,2.125,0.36,0.831,1.96,49,113,25,"1"
"2798",11,42,462,3.818,0.284,0.654,1.93,131,302,68,"1"
"2799",8,14,112,1.75,0.375,0.839,2.1,42,94,20,"1"
"2800",8,37,296,4.625,0.375,0.922,1.61,111,273,69,"1"
"2801",8,26,208,3.25,0.346,0.909,1.85,72,189,39,"1"
"2802",8,28,224,3.5,0.46,0.79,2.58,103,177,40,"1"
"2803",10,44,440,4.4,0.314,0.623,1.92,138,274,72,"1"
"2804",10,12,120,1.2,0.4,0.933,2.29,48,112,21,"1"
"2805",10,40,400,4,0.333,0.783,1.82,133,313,73,"1"
"2806",6,14,84,2.333,0.56,0.929,2.24,47,78,21,"1"
"2807",7,33,231,4.714,0.385,0.922,2.23,89,213,40,"1"
"2808",8,9,72,1.125,0.361,0.722,1.86,26,52,14,"1"
"2809",8,43,344,5.375,0.343,0.977,1.71,118,336,69,"1"
"2810",8,13,104,1.625,0.413,1,1.95,43,104,22,"1"
"2811",11,33,363,3,0.278,0.73,2.1,101,265,48,"1"
"2812",8,37,296,4.625,0.392,0.753,1.93,116,223,60,"1"
"2813",11,29,319,2.636,0.32,0.618,2.22,102,197,46,"1"
"2814",8,50,400,6.25,0.405,0.993,1.93,162,397,84,"1"
"2815",8,38,304,4.75,0.408,0.964,1.65,124,293,75,"1"
"2816",8,26,208,3.25,0.409,0.933,2.18,85,194,39,"1"
"2817",10,52,520,5.2,0.306,0.688,1.96,159,358,81,"1"
"2818",6,39,234,6.5,0.393,0.927,1.77,92,217,52,"1"
"2819",6,7,42,1.167,0.5,0.976,2.1,21,41,10,"1"
"2820",12,261,3132,21.75,0.207,0.564,1.81,649,1768,358,"1"
"2821",11,146,1606,13.273,0.238,0.58,1.83,383,932,209,"1"
"2822",8,19,152,2.375,0.355,0.954,2,54,145,27,"1"
"2823",10,35,350,3.5,0.326,0.583,2.24,114,204,51,"1"
"2824",8,57,456,7.125,0.309,0.838,1.81,141,382,78,"1"
"2825",12,272,3264,22.667,0.219,0.589,1.8,715,1922,397,"1"
"2826",11,26,286,2.364,0.262,0.804,1.79,75,230,42,"1"
"2827",9,10,90,1.111,0.344,0.789,2.07,31,71,15,"1"
"2828",9,28,252,3.111,0.317,0.976,1.95,80,246,41,"1"
"2829",11,25,275,2.273,0.298,0.811,2.05,82,223,40,"1"
"2830",8,8,64,1,0.391,1,2.5,25,64,10,"1"
"2831",8,27,216,3.375,0.343,0.778,1.76,74,168,42,"1"
"2832",8,8,64,1,0.406,0.953,2.17,26,61,12,"1"
"2833",10,16,160,1.6,0.375,0.769,2.14,60,123,28,"1"
"2834",10,19,190,1.9,0.3,0.905,1.68,57,172,34,"1"
"2835",10,7,70,0.7,0.357,0.871,2.08,25,61,12,"1"
"2836",10,13,130,1.3,0.315,0.915,2.41,41,119,17,"1"
"2837",5,7,35,1.4,0.457,1,1.45,16,35,11,"1"
"2838",6,10,60,1.667,0.433,0.867,1.86,26,52,14,"1"
"2839",8,13,104,1.625,0.365,0.808,1.9,38,84,20,"1"
"2840",8,42,336,5.25,0.375,0.899,2.07,126,302,61,"1"
"2841",10,44,440,4.4,0.318,0.87,1.75,140,383,80,"1"
"2842",10,26,260,2.6,0.273,0.815,1.87,71,212,38,"1"
"2843",10,30,300,3,0.3,0.73,2.14,90,219,42,"1"
"2844",11,27,297,2.455,0.303,0.596,2.43,90,177,37,"1"
"2845",8,52,416,6.5,0.325,0.877,1.75,135,365,77,"1"
"2846",8,76,608,9.5,0.314,0.711,1.87,191,432,102,"1"
"2847",10,15,150,1.5,0.36,0.813,2.08,54,122,26,"1"
"2848",10,18,180,1.8,0.294,0.911,1.89,53,164,28,"1"
"2849",7,15,105,2.143,0.4,0.752,1.83,42,79,23,"1"
"2850",7,35,245,5,0.339,0.833,1.93,83,204,43,"1"
"2851",7,26,182,3.714,0.396,1,2,72,182,36,"1"
"2852",7,8,56,1.143,0.429,0.964,1.85,24,54,13,"1"
"2853",8,51,408,6.375,0.306,0.637,1.95,125,260,64,"1"
"2854",9,114,1026,12.667,0.272,0.741,1.86,279,760,150,"1"
"2855",8,9,72,1.125,0.417,1,2.31,30,72,13,"1"
"2856",8,29,232,3.625,0.345,0.681,2,80,158,40,"1"
"2857",9,105,945,11.667,0.236,0.579,1.91,223,547,117,"1"
"2858",9,101,909,11.222,0.256,0.688,1.71,233,625,136,"1"
"2859",8,64,512,8,0.385,0.912,1.93,197,467,102,"1"
"2860",10,32,320,3.2,0.306,0.788,1.69,98,252,58,"1"
"2861",7,14,98,2,0.378,0.969,1.95,37,95,19,"1"
"2862",10,61,610,6.1,0.29,0.657,2.16,177,401,82,"1"
"2863",1,25,25,25,1,1,25,25,25,1,"1"
"2864",6,21,126,3.5,0.246,0.254,31,31,32,1,"2"
"2865",7,109,763,15.571,0.283,0.543,1.93,216,414,112,"1"
"2866",6,221,1326,36.833,0.268,0.536,1.95,356,711,183,"1"
"2867",6,146,876,24.333,0.325,0.691,1.83,285,605,156,"1"
"2868",5,10,50,2,0.5,0.84,2.08,25,42,12,"1"
"2869",8,16,128,2,0.398,0.695,2.55,51,89,20,"2"
"2870",8,19,152,2.375,0.388,0.664,2.19,59,101,27,"1"
"2871",10,46,460,4.6,0.278,0.583,1.66,128,268,77,"1"
"2872",8,25,200,3.125,0.355,0.78,1.73,71,156,41,"1"
"2873",8,30,240,3.75,0.354,0.75,2.02,85,180,42,"1"
"2874",8,14,112,1.75,0.482,0.759,3.38,54,85,16,"1"
"2875",8,5,40,0.625,0.35,0.6,3.5,14,24,4,"1"
"2876",68,34,2312,0.5,0.224,0.526,2.44,519,1215,213,"5"
"2877",67,30,2010,0.448,0.169,0.46,2.26,339,924,150,"5"
"2878",6,12,72,2,0.486,0.944,2.19,35,68,16,"1"
"2879",7,7,49,1,0.286,0.571,3.5,14,28,4,"1"
"2880",7,7,49,1,0.265,0.612,3.25,13,30,4,"1"
"2881",5,12,60,2.4,0.6,0.9,3,36,54,12,"1"
"2882",11,261,2871,23.727,0.233,0.637,1.75,668,1830,381,"1"
"2883",11,154,1694,14,0.187,0.522,1.94,317,884,163,"1"
"2884",10,155,1550,15.5,0.275,0.803,1.85,427,1244,231,"1"
"2885",20,39,780,1.95,0.14,0.405,3.21,109,316,34,"5"
"2886",6,17,102,2.833,0.137,0.627,2.8,14,64,5,"5"
"2887",8,24,192,3,0.417,0.953,1.9,80,183,42,"1"
"2888",10,41,410,4.1,0.276,0.693,1.61,113,284,70,"1"
"2889",10,15,150,1.5,0.273,0.947,1.41,41,142,29,"1"
"2890",10,12,120,1.2,0.35,0.867,2.33,42,104,18,"1"
"2891",10,55,550,5.5,0.295,0.756,1.98,162,416,82,"1"
"2892",7,6,42,0.857,0.405,0.929,1.89,17,39,9,"1"
"2893",7,19,133,2.714,0.398,0.88,1.83,53,117,29,"1"
"2894",7,8,56,1.143,0.482,1,2.25,27,56,12,"1"
"2895",7,7,49,1,0.592,0.959,2.42,29,47,12,"1"
"2896",8,29,232,3.625,0.444,1,2.15,103,232,48,"1"
"2897",11,53,583,4.818,0.249,0.734,1.93,145,428,75,"1"
"2898",9,19,171,2.111,0.298,0.737,2.68,51,126,19,"1"
"2899",10,13,130,1.3,0.285,0.885,1.61,37,115,23,"1"
"2900",10,144,1440,14.4,0.256,0.625,1.8,368,900,205,"1"
"2901",7,12,84,1.714,0.476,0.81,2.11,40,68,19,"1"
"2902",7,2,14,0.286,0.857,0.857,12,12,12,1,"1"
"2903",11,54,594,4.909,0.273,0.781,2.19,162,464,74,"1"
"2904",10,51,510,5.1,0.28,0.814,1.66,143,415,86,"1"
"2905",10,7,70,0.7,0.314,0.857,1.83,22,60,12,"1"
"2906",10,37,370,3.7,0.327,0.954,1.83,121,353,66,"1"
"2907",10,11,110,1.1,0.409,0.955,2.5,45,105,18,"1"
"2908",2,6,12,3,0.583,0.917,7,7,11,1,"1"
"2909",8,43,344,5.375,0.387,0.762,1.93,133,262,69,"1"
"2910",8,28,224,3.5,0.442,0.795,2.48,99,178,40,"1"
"2911",3,3,9,1,0.778,0.778,7,7,7,1,"1"
"2912",1,7,7,7,1,1,7,7,7,1,"1"
"2913",5,2,10,0.4,0.7,0.7,7,7,7,1,"1"
"2914",4,2,8,0.5,0.875,0.875,7,7,7,1,"1"
"2915",4,3,12,0.75,0.667,0.917,2.67,8,11,3,"1"
"2916",7,2,14,0.286,0.714,0.714,10,10,10,1,"1"
"2917",10,72,720,7.2,0.292,0.667,1.81,210,480,116,"1"
"2918",10,150,1500,15,0.252,0.585,2.07,378,878,183,"1"
"2919",10,9,90,0.9,0.333,0.878,2.5,30,79,12,"1"
"2920",10,34,340,3.4,0.321,0.853,2.02,109,290,54,"1"
"2921",10,10,100,1,0.35,0.89,1.94,35,89,18,"1"
"2922",8,9,72,1.125,0.375,0.681,1.69,27,49,16,"1"
"2923",7,15,105,2.143,0.438,0.895,2.3,46,94,20,"1"
"2924",10,30,300,3,0.33,0.843,1.9,99,253,52,"1"
